index,pmid,sid,text,len,interventions,interventions/Surgical,interventions/Surgical Fragment,interventions/Surgical_fragment_index,interventions/Physical,interventions/Physical Fragment,interventions/Physical_fragment_index,participants,participants/Condition,participants/Condition Fragment,participants/Condition_fragment_index,outcomes,outcomes/Physical,outcomes/Physical Fragment,outcomes/Physical_fragment_index,outcomes/Pain,outcomes/Pain Fragment,outcomes/Pain_fragment_index,outcomes/Adverse-effects,outcomes/Adverse-effects Fragment,outcomes/Adverse-effects_fragment_index,outcomes/Mental,outcomes/Mental Fragment,outcomes/Mental_fragment_index,outcomes/Other,outcomes/Other Fragment,outcomes/Other_fragment_index,participants/Age,participants/Age Fragment,participants/Age_fragment_index,interventions/Educational,interventions/Educational Fragment,interventions/Educational_fragment_index,interventions/Other,interventions/Other Fragment,interventions/Other_fragment_index,participants/Sample-size,participants/Sample-size Fragment,participants/Sample-size_fragment_index,interventions/Pharmacological,interventions/Pharmacological Fragment,interventions/Pharmacological_fragment_index,participants/Sex,participants/Sex Fragment,participants/Sex_fragment_index,interventions/Control,interventions/Control Fragment,interventions/Control_fragment_index,outcomes/Mortality,outcomes/Mortality Fragment,outcomes/Mortality_fragment_index,interventions/Psychological,interventions/Psychological Fragment,interventions/Psychological_fragment_index,Negative
13801,11136837,9,All statistical tests were two-sided .,6,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
14217,1573044,4,"Compared with other drugs , lorazepam drug effects were greater and resulted in more prolonged impairment of a motor tracking task , standing steadiness , and memory .",28,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,"prolonged impairment; motor tracking task , standing steadiness , and; .","[85, 111, 166]",0.0,,,0.0,,,1.0,memory,[159],1.0,drug effects; greater,"[38, 56]",0.0,,,0.0,,,0.0,,,0.0,,,1.0,lorazepam,[28],0.0,,,0.0,,,0.0,,,0.0,,,0.0
14283,23334070,0,"Safety and pharmacology of a single intravenous dose of ponezumab in subjects with mild-to-moderate Alzheimer disease : a phase I , randomized , placebo-controlled , double-blind , dose-escalation study .",30,1.0,0.0,,,0.0,,,1.0,1.0,mild-to-moderate Alzheimer disease,[83],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,ponezumab,[56],0.0,,,1.0,placebo-controlled,[145],0.0,,,0.0,,,0.0
14948,22414705,0,Noradrenergic moderation of working memory impairments in adults with autism spectrum disorder .,13,0.0,0.0,,,0.0,,,1.0,1.0,autism spectrum disorder,[70],1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,moderation,[14],1.0,adults,[58],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
15039,10235220,3,"METHODS Seventy-two consecutive anti-HBe-positive chronic hepatitis B patients ( 59 male and 13 female , median age 41 yr ) stratified by sex and histology were randomly allocated to three treatment arms .",33,0.0,0.0,,,0.0,,,1.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,41 yr,[116],0.0,,,0.0,,,1.0,Seventy-two; 59; 13,"[8, 81, 93]",0.0,,,1.0,male; female,"[84, 96]",0.0,,,0.0,,,0.0,,,0.0
15406,25296247,15,This type of hypertension is thought to be a transient phenomenon not solely related to sympathetic activation and catecholamine surge but also possibly encompassing other physiologic factors .,28,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
15513,21142736,1,"INTRODUCTION Laser therapy is clinically effective in hair removal ; however , despite the development of various strategies , laser procedures still present a risk of adverse effects due to the overheating of the skin .",36,1.0,0.0,,,1.0,Laser therapy,[13],0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
15545,16275518,10,"A proposed method to derive systolic PAP should be used while screening the patients at risk for pulmonary hypertension , monitoring the disease progression and the effect of treatment .",30,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
15590,22045148,3,"OBJECTIVES To develop a predictive model and a simplified score for use on day 7 of hospitalization to assess whether a patient receiving mechanical ventilation is likely to require an additional 25 days of hospitalization ( ie , would qualify for transfer to a long-term care hospital ) .",49,1.0,0.0,,,1.0,mechanical ventilation,[138],0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,predictive model,[24],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
15865,22608375,7,Data were analyzed in 2011 .,6,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
15923,16772581,1,"An experiment was conducted with 36 primiparous and 40 multiparous Holstein cows to examine the effects of feeding wet corn gluten feed ( WCGF ) on 305-d milk production , dry matter ( DM ) intake , body condition score ( BCS ) , and health .",47,1.0,0.0,,,0.0,,,1.0,0.0,,,1.0,1.0,"milk production , dry matter ( DM ) intake , body condition score ( BCS ) , and health .",[154],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,wet corn gluten feed ( WCGF ),[115],1.0,36 primiparous; 40 multiparous,"[33, 52]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
16068,1634173,1,Effectiveness of a combination preparation with standardized blood leech extract ] .,12,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,combination preparation with standardized blood leech extract ],[19],0.0,,,0.0,,,0.0,,,0.0,,,0.0
16535,1376306,6,"There was no difference in survival , cause-specific survival , and pattern of relapse between both groups .",18,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,pattern of relapse,[68],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,survival; cause-specific survival,"[27, 38]",0.0,,,0.0
16539,1376306,10,"There were no treatment-related deaths and , in the experimental arm of the trial , no increased morbidity from locoregional treatment .",22,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,1.0,morbidity,[97],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,deaths,[32],0.0,,,0.0
16740,19017582,11,"We explored possible reasons for this finding , including limited engagement of participants and simplifying program content and architecture .",20,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
16924,16904524,3,All patients reported their average and worst pain levels at baseline and 2 and 3 weeks after the start of the intervention .,23,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,1.0,pain levels,[46],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
17129,20843746,14,Corifollitropin alfa treatment resulted in a similar growth rate of follicles though a slightly higher number of follicles were recruited compared with daily rFSH .,25,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
17216,10759619,0,Pharmacokinetic interaction between proton pump inhibitors and roxithromycin in volunteers .,11,1.0,0.0,,,0.0,,,1.0,1.0,volunteers,[80],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,proton pump inhibitors; roxithromycin,"[36, 63]",0.0,,,0.0,,,0.0,,,0.0,,,0.0
17826,15189800,5,Nurses and physician assistants ( PAs ) were presented a case study of a patient with symptoms of CFS .,20,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,case study of a patient with symptoms of CFS,[57],0.0
18101,15922817,15,"Also , there were no significant differences in the incidences of drug-related clinical and laboratory adverse events ; the most common were headache , flushing , facial edema , and paresthesia .",32,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,1.0,"headache , flushing , facial edema , and paresthesia .",[141],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
18136,12005275,9,The percentage of patients with pain relief ( reduction of predose pain intensity to mild or none ) at 2 hours was 66 % for rizatriptan versus 56 % for placebo ( P=.079 ) .,35,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,1.0,percentage of patients with pain relief; predose pain intensity,"[4, 59]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,rizatriptan,[124],0.0,,,1.0,placebo,[152],0.0,,,0.0,,,0.0
18167,17959585,10,CONCLUSIONS Pretreatment with i.v . acetaminophen seems to be effective in attenuating pain during i.v . injection of propofol .,20,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,1.0,pain,[87],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,acetaminophen; propofol .,"[36, 118]",0.0,,,0.0,,,0.0,,,0.0,,,0.0
18454,22510874,0,Osteopontin is a prognostic factor for survival of acute myeloid leukemia patients .,13,1.0,0.0,,,0.0,,,1.0,1.0,acute myeloid leukemia patients .,[51],1.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,Osteopontin,[0],0.0,,,0.0,,,1.0,survival,[39],0.0,,,0.0
18723,25524655,2,"We aimed to determine the extent to which gender influenced functional outcome and response to exercise in older people after hip fracture , and to determine if any differences persisted after adjusting for cognition , weight and age .",39,1.0,0.0,,,1.0,exercise,[95],1.0,1.0,hip fracture,[126],1.0,0.0,,,0.0,,,0.0,,,1.0,functional outcome and response to exercise,[60],0.0,,,1.0,older,[107],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
18925,16119805,6,"The non-recurrence rates in the THP group and control group were 54.1 % versus 37.6 % at 1 year and 40.4 % versus 26.8 % at 2 years , respectively ( P = 0.086 ) .",36,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,non-recurrence rates,[4],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
19524,9652612,4,"The primary endpoints were hospital mortality and morbidity , length of hospital stay , and length of sick leave from work .",22,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,length of hospital stay; length of sick leave from work,"[62, 92]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,hospital mortality; morbidity,"[27, 50]",0.0,,,0.0
19550,11074150,14,The results are discussed in relation to the cognitive effects of nicotine .,13,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,nicotine,[66],0.0,,,0.0,,,0.0,,,0.0,,,0.0
19595,22565413,8,"Patient satisfaction was assessed ( ZUF-8 ) , and complete-cases and intention-to-treat analyses were performed .",16,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,Patient satisfaction,[0],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
19726,18355797,12,CONCLUSION Treatment of diabetic patients with post amputation wounds using NPWT resulted in lower resource utilization and a greater proportion of patients obtaining wound healing at a lower overall cost of care when compared to MWT .,37,1.0,0.0,,,1.0,NPWT; MWT,"[76, 230]",1.0,1.0,diabetic; post amputation wounds,"[24, 47]",1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,resource utilization; lower overall cost of care,"[99, 186]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
19745,10382082,3,"A total of 84 evaluable women provided 274 cycles of exposure in the LNG/EE group , and 89 women provided 289 cycles of exposure in the NETA/EE group .",29,0.0,0.0,,,0.0,,,1.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,84 evaluable; 89 women,"[11, 88]",0.0,,,1.0,women,[24],0.0,,,0.0,,,0.0,,,0.0
20564,6927657,4,"Analysis of variance and post-hoc analyses suggest that subjects who first learned under the color-coded , extra prompt condition encountered significant difficulty in transferring their newly acquired skill to the naturalistic , non-color-coded condition , whereas subjects who learned initially without the extra prompts had little difficulty with the subsequent color-coded condition .",53,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
20667,25304364,11,The sample size of 90 will give 80 % power to detect a 2.5-point difference in within-group changes in the Alzheimer 's disease Assessment Scale-Cognition at 6 months for the cycling group .,33,0.0,0.0,,,0.0,,,1.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,1.0,Alzheimer 's disease Assessment Scale-Cognition,[107],0.0,,,0.0,,,0.0,,,0.0,,,1.0,90,[19],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
20822,7964960,0,"Randomized double-blind , placebo-controlled evaluation of oral ondansetron in the prevention of nausea and vomiting associated with fractionated total-body irradiation .",21,1.0,0.0,,,0.0,,,1.0,1.0,nausea; vomiting; fractionated total-body irradiation,"[97, 108, 133]",0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,oral ondansetron,[59],0.0,,,1.0,placebo-controlled,[26],0.0,,,0.0,,,0.0
20956,3333530,3,During the intervention period the total fat intake was reduced from 39 % to 24 % of energy and the polyunsaturated/saturated ( P/S ) ratio increased from 0.2 to 0.4-1.2 .,31,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,total fat intake,[35],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,fat intake,[41],0.0,,,1.0,polyunsaturated/saturated ( P/S ) ratio,[100],0.0,,,0.0,,,0.0,,,0.0,,,0.0
21091,23046525,11,Two patients experienced VTE several days after discontinuing study drug .,11,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,1.0,VTE,[25],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
21120,19404150,9,"All measures of outcome were worse in patients who developed fever , even in those without infections or who were World Federation of Neurological Surgeons grade I. Logistic regression analyses were performed to adjust for differences in preoperative factors ( e.g. , age , Fisher grade , initial neurological status ) .",52,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,1.0,infections,[91],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
21152,20035541,0,Randomized clinical trial of radiofrequency ablation or conventional high ligation and stripping for great saphenous varicose veins .,18,1.0,1.0,conventional high ligation,[56],1.0,radiofrequency ablation,[29],1.0,1.0,great saphenous varicose veins,[101],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
21690,26121801,7,"RESULTS SVV was significantly lower in ORS group ( P = 0.03 ) , and CI showed no difference .",20,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,ORS,[39],0.0,,,0.0,,,0.0,,,0.0,,,0.0
21956,22092038,8,A gradual increase of AP-1 activation was found in non-progressive and progressive phases of atherosclerosis respectively ( P < 0.044 ) .,22,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
22001,10385063,0,Calcitriol for bone disease in patients with cirrhosis of the liver .,12,1.0,0.0,,,0.0,,,1.0,1.0,patients with cirrhosis of the liver .,[31],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,Calcitriol,[0],0.0,,,0.0,,,0.0,,,0.0,,,0.0
22606,1457622,4,"Descriptive data analysis including confirmatory statements found delta/theta activity enhanced , alpha and beta activity reduced , total power augmented , and the centroid slowed down over various brain regions in patients as compared with controls .",37,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,delta/theta activity; alpha and beta activity; total power; centroid,"[66, 98, 132, 164]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
22806,15453848,9,"CONCLUSION A relatively small and central capsulorhexis allowing for the complete covering of the IOL optics by the rhexis edges seems to protect against PCO in cataract surgery , with both round-edged silicone IOLs and sharp-edged hydrophobic acrylic IOLs .",40,1.0,0.0,,,1.0,IOL optics; acrylic IOLs,"[98, 244]",0.0,0.0,,,1.0,1.0,PCO,[154],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
22831,20460711,2,"In HUVECs , acetate induced a biphasic increase in the phosphorylated form of eNOS .",15,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
23286,21206549,4,The use of stimulant therapy continued unchanged .,8,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
23312,19169102,6,INTERVENTION Thirty patients were treated with a simple shoulder sling and 30 patients with ESIN within 3 days after trauma .,21,1.0,1.0,ESIN,[92],1.0,simple shoulder sling,[49],0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
23594,9532967,0,Interfering with the central executive by means of a random interval repetition task .,14,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,random interval repetition task,[53],0.0
23643,18957157,4,The results before and after irrigation were compared using the Wilcoxon t-test .,13,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
23668,17935144,2,METHOD Three hundred and fifty-three women within one year of diagnosis with primary breast cancer were randomly assigned to receive supportive-expressive group therapy or to an education control condition .,30,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,education control condition,[178],0.0,,,1.0,supportive-expressive group therapy,[133],0.0
23839,7036799,5,Onset and complete spread of sensory blockade were similar in all five groups .,14,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,sensory blockade,[29],0.0,,,0.0,,,1.0,Onset and complete spread of,[0],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
23973,14996144,4,"METHODS As part of a randomized , double-blind , placebo-controlled relapse-prevention study of fluoxetine monotherapy in BP II MDE , 37 patients received open-label fluoxetine 20 mg every day for up to 8 weeks .",35,1.0,0.0,,,1.0,fluoxetine monotherapy,[96],1.0,1.0,BP II,[122],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,37,[134],1.0,open-label fluoxetine 20 mg,[155],0.0,,,1.0,placebo-controlled,[49],0.0,,,1.0,every day for up to 8 weeks,[183],0.0
24705,14752429,5,The radial artery was used in all cases as a composite Y-graft .,13,1.0,1.0,composite Y-graft,[45],0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
25343,16413892,6,RESULTS Forty-seven subjects were entered in the study .,9,0.0,0.0,,,0.0,,,1.0,1.0,Forty-seven subjects were entered in the study .,[8],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
25564,1622739,6,IS-IL-2 therapy induced a high incidence of eosinophilia ( 12/18 ) and thrombocythemia ( 12/18 ) .,17,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,( 12/18 ),[57],0.0,,,1.0,eosinophilia; thrombocythemia,"[44, 71]",0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
25626,19644033,11,"Importantly , the decrease in Achilles tendon stiffness remained 30 min later , which may be an important etiological factor for muscle-tendon strain injury risk .",26,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,Achilles tendon stiffness,[30],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
25809,3556337,2,"Nifedipine 30 mg orally inhibited basal acid output by 37 % ( p less than 0.025 ) and that stimulated by low infusion rates of pentagastrin -- that is , 0.031 and 0.062 microgram/kg/h by 44 % ( p = 0.05 ) and 39 % ( p less than 0.02 ) respectively .",53,1.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,Nifedipine; pentagastrin,"[0, 127]",0.0,,,0.0,,,0.0,,,0.0,,,0.0
26026,22640463,8,"RESULTS Study and Control groups were equivalent in gender distribution , mean academic ability , pre-test performance and time studying leukaemia during the trial .",25,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0
26095,11392343,0,"Double-blind , placebo-controlled study of amantadine hydrochloride in the treatment of children with autistic disorder .",16,1.0,0.0,,,0.0,,,1.0,1.0,autistic disorder,[102],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,amantadine hydrochloride,[43],0.0,,,1.0,placebo-controlled,[15],0.0,,,0.0,,,0.0
26233,10986219,2,L-Ornithine-L-aspartate ( LOLA ) has been shown to reduce ammonia and improve psychometric function in patients with hepatic encephalopathy .,20,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,1.0,ammonia,[58],0.0,,,0.0,,,1.0,psychometric function,[78],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,L-Ornithine-L-aspartate ( LOLA ),[0],0.0,,,0.0,,,0.0,,,0.0,,,0.0
26670,12616671,4,"In an open-label , three-way crossover study , 24 healthy men were randomly assigned to receive 0.5 mg of risperidone twice daily , 5 mg of donepezil once daily , or both drugs for 14 consecutive days , followed by a 21-day washout period .",45,1.0,0.0,,,0.0,,,1.0,1.0,healthy,[50],0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,24,[47],1.0,risperidone; donepezil,"[106, 140]",0.0,,,0.0,,,0.0,,,0.0,,,0.0
26994,16684856,2,"Eight sedentary men ( 26 +/- 1 yr , 77.4 +/- 3.7 kg ) were studied in the postprandial state during 90 min of rest and 60 min of exercise twice before ( 45 % and 65 % V ( O2 peak ) ) and twice after 9 wk of endurance training ( 55 % and 65 % posttraining V ( O2 peak ) ) .",66,1.0,0.0,,,1.0,90 min of rest and 60 min of exercise twice; 9 wk of endurance training,"[100, 199]",1.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,"26 +/- 1 yr ,",[22],0.0,,,0.0,,,1.0,Eight,[0],0.0,,,1.0,men,[16],0.0,,,0.0,,,0.0,,,0.0
27000,16684856,8,"In conclusion , endurance training favorably affects blood lipoprotein profiles , even in young , healthy normolipidemic men , but muscle contractions per se have little effect on net leg LDL-C , or TG uptake or HDL-C release during moderate-intensity cycling exercise .",43,0.0,0.0,,,0.0,,,1.0,0.0,,,1.0,1.0,blood lipoprotein profiles; leg LDL-C; TG uptake; HDL-C release,"[53, 184, 199, 212]",0.0,,,0.0,,,0.0,,,0.0,,,1.0,young,[90],0.0,,,0.0,,,0.0,,,0.0,,,1.0,men,[121],0.0,,,0.0,,,0.0,,,0.0
27057,8888660,1,The effect of hydrochlorothiazide therapy on ventricular arrhythmias was studied in 45 hypertensive African-American men with moderate to severe left ventricular ( LV ) hypertrophy .,26,1.0,0.0,,,0.0,,,1.0,0.0,,,1.0,1.0,ventricular arrhythmias,[45],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,45 hypertensive African-American; with moderate to severe left ventricular ( LV ) hypertrophy,"[84, 121]",1.0,hydrochlorothiazide therapy,[14],1.0,men,[117],0.0,,,0.0,,,0.0,,,0.0
27192,6721970,6,"In patients with severe pre-eclampsia there appears no contraindication to enflurane or , probably , halothane as volatile supplements during general anaesthesia .",23,1.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,1.0,contraindication to enflurane,[55],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,enflurane; halothane; general anaesthesia,"[75, 101, 142]",0.0,,,0.0,,,0.0,,,0.0,,,0.0
27765,24147543,3,Efficacy was evaluated 1 month after each treatment .,9,0.0,0.0,,,0.0,,,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,,1.0,Efficacy,[0],0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
